track_title,word,artist
The Brilliant Dance,painful,dashboard
The Brilliant Dance,buried,dashboard
The Brilliant Dance,empty,dashboard
The Brilliant Dance,loss,dashboard
Screaming Infidelities,missing,dashboard
Screaming Infidelities,avoiding,dashboard
Screaming Infidelities,beast,dashboard
Screaming Infidelities,screaming,dashboard
The Best Deceptions,feeling,dashboard
The Best Deceptions,blood,dashboard
This Ruined Puzzle,ruined,dashboard
This Ruined Puzzle,concerned,dashboard
This Ruined Puzzle,coffin,dashboard
This Ruined Puzzle,buried,dashboard
This Ruined Puzzle,die,dashboard
This Ruined Puzzle,sigh,dashboard
Saints and Sailors,feeling,dashboard
Saints and Sailors,wound,dashboard
Saints and Sailors,awful,dashboard
Saints and Sailors,broken,dashboard
Saints and Sailors,curse,dashboard
The Good Fight,martyr,dashboard
The Good Fight,meaningless,dashboard
The Good Fight,died,dashboard
The Good Fight,rebellion,dashboard
The Good Fight,die,dashboard
The Good Fight,lie,dashboard
The Good Fight,fight,dashboard
Again I Go Unnoticed,feeling,dashboard
Again I Go Unnoticed,empty,dashboard
Again I Go Unnoticed,bear,dashboard
The Places You Have Come to Fear the Most,buried,dashboard
The Places You Have Come to Fear the Most,grave,dashboard
The Places You Have Come to Fear the Most,leave,dashboard
The Places You Have Come to Fear the Most,flee,dashboard
The Places You Have Come to Fear the Most,loneliness,dashboard
This Bitter Pill,choke,dashboard
This Bitter Pill,die,dashboard
This Bitter Pill,awful,dashboard
This Bitter Pill,feeling,dashboard
This Bitter Pill,despair,dashboard
Planet Telex,broken,radiohead
The Bends,falling,radiohead
The Bends,blood,radiohead
The Bends,pain,radiohead
The Bends,scared,radiohead
The Bends,sinking,radiohead
High and Dry,kill,radiohead
High and Dry,broke,radiohead
High and Dry,leave,radiohead
High and Dry,fall,radiohead
High and Dry,hate,radiohead
High and Dry,screaming,radiohead
Fake Plastic Trees,broken,radiohead
Fake Plastic Trees,cracked,radiohead
Fake Plastic Trees,surgery,radiohead
Fake Plastic Trees,feeling,radiohead
Bones,crippled,radiohead
Bones,cracked,radiohead
Bones,feeling,radiohead
Bones,missing,radiohead
Just,hanging,radiohead
Just,sympathy,radiohead
Just,hell,radiohead
My Iron Lung,hell,radiohead
My Iron Lung,pain,radiohead
My Iron Lung,fall,radiohead
My Iron Lung,losing,radiohead
My Iron Lung,waste,radiohead
My Iron Lung,frightened,radiohead
Bullet Proof ... I Wish I Was,stab,radiohead
Bullet Proof ... I Wish I Was,shot,radiohead
Black Star,falling,radiohead
Black Star,killing,radiohead
Sulk,bawl,radiohead
Sulk,fall,radiohead
Street Spirit (Fade Out),feeling,radiohead
Street Spirit (Fade Out),blue,radiohead
Street Spirit (Fade Out),cracked,radiohead
Street Spirit (Fade Out),death,radiohead
