track_title,line,word,artist,track_n,lyric
The Brilliant Dance,2,painful,dashboard,1,Painful realization
The Brilliant Dance,6,buried,dashboard,1,So you buried all your lover's clothes
The Brilliant Dance,19,empty,dashboard,1,And the ringing from this empty sound
The Brilliant Dance,30,loss,dashboard,1,Before we felt loss for the first time?
Screaming Infidelities,1,missing,dashboard,2,"I'm missing your bed, I never sleep"
Screaming Infidelities,2,avoiding,dashboard,2,Avoiding the spots where we'd have to speak
Screaming Infidelities,3,beast,dashboard,2,And this bottle of beast is taking me home
Screaming Infidelities,13,missing,dashboard,2,"I'm missing your laugh, how did it break?"
Screaming Infidelities,19,missing,dashboard,2,"I'm missing your bed, I never sleep"
Screaming Infidelities,20,avoiding,dashboard,2,Avoiding the spots where we'd have to speak
Screaming Infidelities,21,beast,dashboard,2,And this bottle of beast is taking me home
Screaming Infidelities,23,screaming,dashboard,2,"Screaming infidelities, and taking its wear"
The Best Deceptions,15,feeling,dashboard,3,I heard that you were feeling sorry
The Best Deceptions,18,blood,dashboard,3,I'm waiting for blood to flow to my fingers
This Ruined Puzzle,1,ruined,dashboard,4,This ruined puzzle is beige with the pieces all face down
This Ruined Puzzle,5,concerned,dashboard,4,"Don't be concerned, you know I'll be fine on my own"
This Ruined Puzzle,14,coffin,dashboard,4,"Well, this basement's a coffin, I'm buried alive"
This Ruined Puzzle,14,buried,dashboard,4,"Well, this basement's a coffin, I'm buried alive"
This Ruined Puzzle,15,die,dashboard,4,I'll die in here just to be safe
This Ruined Puzzle,17,sigh,dashboard,4,And you're off with barely a sigh
Saints and Sailors,2,feeling,dashboard,5,And no one should ever feel the way that I feel now
Saints and Sailors,3,wound,dashboard,5,A walking open wound
Saints and Sailors,7,awful,dashboard,5,And I'm thinking awful things
Saints and Sailors,19,broken,dashboard,5,When everything's broken
Saints and Sailors,21,curse,dashboard,5,But you curse like a sailor
The Good Fight,3,martyr,dashboard,6,The martyr is meaningless
The Good Fight,3,meaningless,dashboard,6,The martyr is meaningless
The Good Fight,4,died,dashboard,6,The campaign has died
The Good Fight,7,rebellion,dashboard,6,This purchased rebellion has been outbidded
The Good Fight,8,die,dashboard,6,Denounced and rescinded and left to die championless
The Good Fight,14,lie,dashboard,6,"A perfect day, a perfect lie"
The Good Fight,16,fight,dashboard,6,Does it comfort you to know you fought the good fight?
Again I Go Unnoticed,5,feeling,dashboard,8,"Please, tell me you're just feeling tired"
Again I Go Unnoticed,6,feeling,dashboard,8,"‘Cause if it's more than that, I feel that I might break"
Again I Go Unnoticed,14,feeling,dashboard,8,It leaves me feeling empty
Again I Go Unnoticed,14,empty,dashboard,8,It leaves me feeling empty
Again I Go Unnoticed,15,feeling,dashboard,8,"Please, tell me you're just feeling tired"
Again I Go Unnoticed,16,feeling,dashboard,8,"‘Cause if it's more than that, I feel that I might break"
Again I Go Unnoticed,22,feeling,dashboard,8,Maybe you'll feel better then
Again I Go Unnoticed,25,bear,dashboard,8,When I can't bear these nights of thoughts of going on without you?
The Places You Have Come to Fear the Most,1,buried,dashboard,9,Buried deep as you can dig inside yourself
The Places You Have Come to Fear the Most,8,grave,dashboard,9,And the grave that you refuse to leave
The Places You Have Come to Fear the Most,8,leave,dashboard,9,And the grave that you refuse to leave
The Places You Have Come to Fear the Most,9,flee,dashboard,9,The refuge that you've built to flee
The Places You Have Come to Fear the Most,12,buried,dashboard,9,Buried deep as you can dig inside yourself
The Places You Have Come to Fear the Most,14,loneliness,dashboard,9,Such a stellar monument to loneliness
This Bitter Pill,6,choke,dashboard,10,"Swallow, choke, and die”"
This Bitter Pill,6,die,dashboard,10,"Swallow, choke, and die”"
This Bitter Pill,9,awful,dashboard,10,Such an awful tearing sound
This Bitter Pill,12,feeling,dashboard,10,This feeling of despair
This Bitter Pill,12,despair,dashboard,10,This feeling of despair
This Bitter Pill,23,awful,dashboard,10,Such an awful tearing sound
This Bitter Pill,26,feeling,dashboard,10,This feeling of despair
This Bitter Pill,26,despair,dashboard,10,This feeling of despair
